TrackName	FilePath	Played	Favourite	FileURL
6 Hour Relaxing Piano Music	https://www.youtube.com/embed?listType=search&list=music6	0	YouTube	https://www.youtube.com/embed?listType=search&list=music6
Anton Ishutin Music	https://www.youtube.com/embed?listType=search&list=music2 o	0	YouTube	https://www.youtube.com/embed?listType=search&list=music2 o
Can't Sleep Music	https://www.youtube.com/embed?listType=search&list=music5 t	0	YouTube	https://www.youtube.com/embed?listType=search&list=music5 t
Celtic Music	https://www.youtube.com/embed?listType=search&list=music1 c	0	YouTube	https://www.youtube.com/embed?listType=search&list=music1 c
Chill Out Music	https://www.youtube.com/embed?listType=search&list=music6 c	0	YouTube	https://www.youtube.com/embed?listType=search&list=music6 c
Deep House Mix 2017	https://www.youtube.com/embed?listType=search&list=music5 p	0	YouTube	https://www.youtube.com/embed?listType=search&list=music5 p
Meditation Deep Relaxation Music	https://www.youtube.com/embed?listType=search&list=music5	0	YouTube	https://www.youtube.com/embed?listType=search&list=music5
Meditation Music	https://www.youtube.com/embed?listType=search&list=music2 l	0	YouTube	https://www.youtube.com/embed?listType=search&list=music2 l
Nina Simone - My Baby Just Cares for Me	https://www.youtube.com/embed?listType=search&list=music5	0	YouTube	https://www.youtube.com/embed?listType=search&list=music5 The Ballad of Nina Simone - Nina Simone Sings My Baby Just Cares for Me and Other Jazz & Blues Hits by Jazz n' Blues Experience
Piano & Flute Music	https://www.youtube.com/embed?listType=search&list=music3 n	0	YouTube	https://www.youtube.com/embed?listType=search&list=music3 n
Relaxation Music 8hrs	https://www.youtube.com/embed?listType=search&list=music8 d	0	YouTube	https://www.youtube.com/embed?listType=search&list=music8 d
Relaxing Guitar Music	https://www.youtube.com/embed?listType=search&list=music3 e	0	YouTube	https://www.youtube.com/embed?listType=search&list=music3 e
Relaxing Instrumental Music	https://www.youtube.com/embed?listType=search&list=music2 f	0	YouTube	https://www.youtube.com/embed?listType=search&list=music2 f
Relaxing Sleep Music 6hrs	https://www.youtube.com/embed?listType=search&list=music6 b	0	YouTube	https://www.youtube.com/embed?listType=search&list=music6 b
Sleeping Music 8hrs	https://www.youtube.com/embed?listType=search&list=music8 e	0	YouTube	https://www.youtube.com/embed?listType=search&list=music8 e
Solfeggio Frequency Music	https://www.youtube.com/embed?listType=search&list=music9 x	0	YouTube	https://www.youtube.com/embed?listType=search&list=music9 x
Spa Music	https://www.youtube.com/embed?listType=search&list=musicw	0	YouTube	https://www.youtube.com/embed?listType=search&list=musicw
Study Music	https://www.youtube.com/embed?listType=search&list=musics	0	YouTube	https://www.youtube.com/embed?listType=search&list=musics
Study Paino Music	https://www.youtube.com/embed?listType=search&list=music2 p	0	YouTube	https://www.youtube.com/embed?listType=search&list=music2 p
Vivaldi Four Seasons	https://www.youtube.com/embed?listType=search&list=music4 e	0	YouTube	https://www.youtube.com/embed?listType=search&list=music4 e
